,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera,Volt al LED,Potencial Retardador
0,3.23619e-11,-56.328,1.79431e-11,-2.6935e-11,10,13,Fri Aug 30 12:54:34 2024,{1},{2.023},3.0,5.0,1.0
1,3.23441e-11,-56.43,1.78845e-11,-2.6951e-11,10,13,,,,,,
2,3.22802e-11,-56.478,1.78259e-11,-2.69137e-11,10,13,,,,,,
3,3.22447e-11,-56.472,1.78081e-11,-2.68817e-11,10,13,,,,,,
4,3.21665e-11,-56.49,1.77566e-11,-2.68213e-11,10,13,,,,,,
5,3.21079e-11,-56.484,1.77282e-11,-2.67716e-11,10,13,,,,,,
6,3.21185e-11,-56.346,1.77992e-11,-2.67361e-11,10,13,,,,,,
7,3.21381e-11,-56.322,1.78223e-11,-2.67449e-11,10,13,,,,,,
8,3.21505e-11,-56.226,1.78738e-11,-2.67272e-11,10,13,,,,,,
9,3.20972e-11,-56.13,1.7888e-11,-2.66526e-11,10,13,,,,,,
10,3.21061e-11,-55.986,1.79609e-11,-2.66153e-11,10,13,,,,,,
11,3.20741e-11,-55.992,1.79378e-11,-2.65922e-11,10,13,,,,,,
12,3.20279e-11,-55.992,1.79129e-11,-2.65513e-11,10,13,,,,,,
13,3.19711e-11,-55.998,1.78791e-11,-2.65069e-11,10,13,,,,,,
14,3.19196e-11,-56.058,1.78223e-11,-2.6482e-11,10,13,,,,,,
15,3.19835e-11,-56.016,1.78774e-11,-2.65211e-11,10,13,,,,,,
16,3.20279e-11,-55.896,1.79591e-11,-2.65211e-11,10,13,,,,,,
17,3.20617e-11,-55.884,1.79822e-11,-2.65442e-11,10,13,,,,,,
18,3.20599e-11,-56.07,1.78969e-11,-2.66011e-11,10,13,,,,,,
19,3.20812e-11,-56.244,1.78259e-11,-2.66739e-11,10,13,,,,,,
20,3.20617e-11,-56.154,1.7856e-11,-2.66295e-11,10,13,,,,,,
21,3.2115e-11,-56.208,1.78596e-11,-2.66916e-11,10,13,,,,,,
22,3.22002e-11,-56.274,1.78791e-11,-2.67822e-11,10,13,,,,,,
23,3.23175e-11,-56.322,1.792e-11,-2.68959e-11,10,13,,,,,,
24,3.23619e-11,-56.214,1.79964e-11,-2.68977e-11,10,13,,,,,,
25,3.23725e-11,-56.1,1.80568e-11,-2.68711e-11,10,13,,,,,,
26,3.23459e-11,-56.1,1.80408e-11,-2.6848e-11,10,13,,,,,,
27,3.23832e-11,-56.052,1.80834e-11,-2.6864e-11,10,13,,,,,,
28,3.23832e-11,-55.98,1.8119e-11,-2.68409e-11,10,13,,,,,,
29,3.23281e-11,-56.082,1.80408e-11,-2.68284e-11,10,13,,,,,,
